cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
94,ID,1567219760,79,-3.31,129,76.84,10.22
0,CL,1567219761,100,-39.81,-73.25,35.6,4.56
0,RU,1567219761,67,50.63,87.96,58.12,5.68
75,US,1567219761,37,32.73,-101.8,89.01,6.93
100,RU,1567219761,63,64.42,-173.23,51.46,8.14
20,IL,1567219762,83,31.8,34.94,77,3.36
20,LV,1567219762,100,56.89,21.19,53.6,2.24
95,ID,1567219616,47,-9.65,120.26,80.26,13.91
75,NO,1567219762,93,78.22,15.63,46.4,4.7
100,IE,1567219763,97,53.78,-7.49,56.86,13.73
40,JP,1567219763,66,39.28,141.86,84.2,3.36
1,US,1567219501,83,36.73,-76.58,77,3.36
46,KZ,1567219763,79,49.15,56.49,50.38,11.9
53,CN,1567219763,25,44.3,86.03,86.38,6.33
40,CA,1567219764,87,49.72,-86.95,48.2,2.24
90,RU,1567219764,82,63.19,64.42,46.24,12.64
91,RU,1567219764,53,67.47,86.57,55.78,14.58
2,GL,1567219764,91,60.14,-45.24,41.2,1.32
0,GF,1567219765,88,4.94,-52.33,77,3.36
34,RU,1567219765,71,59.06,80.87,57.04,13.82
0,AU,1567219586,8,-25.24,130.99,73.4,8.05
58,ML,1567219765,44,16.77,-3.01,88.18,9.66
0,BO,1567219765,17,-18.47,-66.57,46.78,10.54
20,IR,1567219766,78,27.15,57.07,84.2,5.37
100,NO,1567219766,91,67.67,12.69,54.34,17.56
100,RU,1567219766,90,66.83,70.83,45.34,14.85
0,FR,1567219766,77,44.74,4.6,69.01,1.12
8,RU,1567219767,54,60.35,102.28,62.62,5.23
1,US,1567219767,79,27.98,-97.4,84.99,10.29
100,NG,1567219768,92,4.97,7.66,74.32,5.57
0,CD,1567219696,45,-7.04,29.76,63.52,4.52
100,MM,1567219768,91,16.29,95.4,78.1,9.06
75,US,1567219769,88,39.62,-77.74,73,4.7
0,EC,1567219769,81,0.12,-76.97,70.36,1.61
25,RU,1567219769,51,56.36,114.84,59.02,4.74
100,CA,1567219603,95,48.94,-125.55,66.99,15.93
90,LK,1567219770,100,6.12,81.12,78.8,11.41
100,ID,1567219572,81,4.14,96.13,80.44,8.93
26,BF,1567219770,82,12.29,-0.73,75.94,6.35
41,RU,1567219770,63,68.06,166.44,36.7,3.74
90,US,1567219655,51,60.79,-161.76,62.6,6.35
0,RU,1567219771,44,53.2,84.6,68.74,13.04
97,IN,1567219771,78,10.57,72.64,81.88,18.03
73,PH,1567219771,75,11.72,122.09,82.78,10.29
0,KG,1567219771,42,41.17,75.81,57.04,5.39
84,BR,1567219771,83,-17.73,-39.27,70.18,5.82
100,IN,1567219772,83,20.51,76.21,75.94,6.17
77,CD,1567219772,68,-7.3,27.4,70.36,3.83
0,IT,1567219543,78,41.89,12.48,75,3.36
0,TR,1567219772,93,38.27,39.76,72,3.36
75,AR,1567219773,29,-24.19,-65.45,62.6,17.22
0,PE,1567219773,30,-13.71,-76.2,71.6,5.82
0,MZ,1567219773,94,-23.87,35.38,63.16,7.92
51,NZ,1567219774,80,-46.13,167.69,55,15.01
20,CA,1567219774,71,53.65,-115.58,55.4,3.36
90,ES,1567219774,94,43.55,-5.92,70,1.92
100,CN,1567219774,70,32.29,119.4,91.99,1.01
0,RU,1567219774,84,65.44,52.15,38.68,2.62
75,JP,1567219775,57,37.05,140.89,78.8,3.36
75,OM,1567219775,94,17.01,54.1,77,4.7
0,ES,1567219775,52,42.01,-4.53,70,1.66
0,BR,1567219775,59,-22.19,-46.24,63.7,5.99
0,RS,1567219775,93,45.39,19.24,68,5.82
100,GL,1567219604,54,77.48,-69.36,39.94,13.78
99,RU,1567219776,75,62.06,48.62,46.6,2.73
0,PF,1567219776,66,-16.48,-151.75,79.72,9.75
8,ID,1567219776,41,-7.05,109.14,87.1,2.86
100,GL,1567219776,58,72.79,-56.15,44.08,11.97
34,SO,1567219777,88,2.04,45.34,75.04,9.62
90,ES,1567219777,94,43.18,-5.8,70,1.92
0,CD,1567219777,45,-7.04,29.76,63.52,4.52
75,MX,1567219777,83,16.86,-99.88,84.2,4.7
10,CM,1567219778,82,10.34,15.23,74.14,3.31
40,BR,1567219778,78,-12.98,-38.48,77,8.05
20,PK,1567219778,88,24.87,67.03,82.4,4.7
0,RU,1567219778,52,53.07,105.52,71.44,2.84
100,RU,1567219778,78,61.25,46.65,46.42,4.12
100,NO,1567219779,97,70.86,29.09,50.38,4.34
31,IQ,1567219779,26,33.64,42.83,84.04,16.78
100,GB,1567219779,82,51.8,-4.97,62.6,32.21
1,US,1567219779,39,34.14,-117.98,84.2,12.75
16,RU,1567219780,82,54.77,42.72,43.54,1.48
0,DE,1567219780,87,51.21,7.87,64.99,2.24
75,IT,1567219780,83,45.18,8.4,75,8.05
1,US,1567219780,57,31.8,-97.09,81,8.05
75,PH,1567219781,70,14.18,121.28,87.01,6.93
0,NZ,1567219781,45,-45.87,170.5,66,5.01
75,JP,1567219781,74,35.74,139.53,89.01,2.24
0,GL,1567219782,28,69.22,-51.1,46.4,26.4
83,PG,1567219782,71,-6.6,147.85,74.68,5.19
1,US,1567219483,83,41.14,-73.36,77,3.27
100,PH,1567219782,90,17.41,121.44,70,4.81
100,ID,1567219782,84,-5.67,132.75,75.4,14.81
0,AR,1567219783,82,-51.62,-69.23,39.2,13.87
100,GB,1567219783,82,55.18,-2.81,62.01,20.8
100,PA,1567219783,88,7.53,-80.03,76.12,1.05
95,CN,1567219783,67,28.28,88.52,43.9,3.18
8,CN,1567219783,44,50.57,123.73,74.14,1.01
26,RU,1567219783,42,53.35,78.35,62.98,19.98
98,FI,1567219784,95,63.32,30.02,59.74,4.83
1,US,1567219784,73,41.28,-70.1,73.4,11.41
20,US,1567219784,78,38.84,-97.61,71.6,8.05
0,BR,1567219784,68,-20.7,-44.83,62.08,3.51
100,CD,1567219784,84,-5.39,25.75,71.98,4.18
40,CA,1567219785,63,43.26,-79.87,64.4,2.24
58,GB,1567219785,87,52.47,1.45,60.01,9.17
47,ID,1567219785,50,-8.09,111.9,80.8,6.29
100,FO,1567219785,100,62.16,-7.17,50,10.29
1,US,1567219786,77,40.6,-124.16,66.2,9.17
1,US,1567219786,77,46.84,-95.91,62.6,3.56
0,FR,1567219786,72,43.56,6.97,77,3.36
40,RU,1567219786,87,66.42,112.4,51.8,4.47
100,CN,1567219786,97,27.88,102.25,54.16,2.21
82,RU,1567219787,50,49.93,116.85,71.8,8.95
0,NO,1567219667,93,69.65,18.96,50,18.34
20,MT,1567219787,88,35.83,14.47,77,3.36
98,FO,1567219787,100,62.23,-6.59,50,10.29
20,ID,1567219787,30,-10.16,123.6,84.2,10.29
83,TL,1567219788,43,-8.93,125.41,82.06,7.14
0,BR,1567219627,49,-16.25,-47.95,73.4,2.24
0,RU,1567219788,93,53.87,39.17,50,3.49
100,IN,1567219788,78,13.17,78.4,71.8,18.92
87,ID,1567219788,59,5.25,96.14,82.78,5.64
34,IS,1567219789,79,63.44,-20.27,48.4,21.32
0,CL,1567219789,77,-25.41,-70.49,53.44,1.34
75,PH,1567219789,70,14.32,120.76,87.01,6.93
0,AL,1567219789,60,40.25,19.57,73.99,3.42
0,RU,1567219789,92,56.57,36.46,52,1.83
20,GL,1567219790,58,60.91,-46.05,44.6,4.7
13,ID,1567219790,61,-0.91,122.88,76.12,4.18
20,MX,1567219790,22,25.82,-103.85,89.6,3.36
98,AU,1567219790,32,-12.18,136.78,82.4,13.87
20,TH,1567219791,79,19.55,99.74,84.99,9.17
100,NO,1567219791,90,64.25,12.38,54.7,3.29
40,GB,1567219531,77,53.66,-1.85,62.01,9.17
20,US,1567219791,37,43.6,-111.11,75.2,5.91
1,BR,1567219791,38,-21.48,-56.15,78.1,2.68
34,ID,1567219792,59,-3.36,135.5,81.7,6.2
90,KZ,1567219792,87,53.17,63.58,44.6,20.13
31,SO,1567219792,67,9.49,50.81,77.56,21.74
95,RU,1567219792,42,52.47,96.11,68.92,1.88
90,CL,1567219550,76,-23.65,-70.4,57.2,4.7
93,RU,1567219793,69,51.52,59.94,47.14,14.03
0,CD,1567219793,45,-7.04,29.76,63.52,4.52
20,US,1567219757,83,38.9,-98.86,71.6,12.75
20,MZ,1567219793,94,-12.97,40.52,69.8,4.7
